originId,label,ipBlocking,appliedBundle,status,lastSyncStatus,lastSync,version,osVersion,osVersionName,type
591225208,LAP-194-001,Disabled,4126698,VA,VA,2024-06-05 09:06:26,3.0.466,Microsoft Windows [version 10.0.19045.3448],Windows 10,roaming
591354582,LAP-TRA-003,Disabled,4126782,Off,Encrypted,2023-12-13 14:16:35,3.0.466,Microsoft Windows [version 10.0.22621.2861],Windows 11,roaming
591699891,LAP-ACH-015,Disabled,3901056,Off,VA,2023-04-20 10:59:24,3.0.343,Microsoft Windows [version 10.0.19045.2728],Windows 10,roaming
591701315,LAP-MGTG-014,Disabled,3901056,VA,VA,2024-06-05 09:03:50,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
591792268,AIO-414-001,Disabled,3901156,VA,VA,2024-06-05 07:44:16,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
591922482,LAP-418-4,Disabled,3901156,Off,VA,2024-06-04 07:29:57,3.0.466,Microsoft Windows [version 10.0.19043.1052],Windows 10,roaming
591931249,AIO-414-003,Disabled,3901156,VA,VA,2024-06-05 09:18:01,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
592035729,AIO-414-002,Disabled,3901156,VA,VA,2024-06-05 08:55:33,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
592111909,LAP-414-002,Disabled,3901156,VA,VA,2024-06-05 09:08:48,3.0.466,Microsoft Windows [version 10.0.19045.4291],Windows 10,roaming
592114609,LAP-155-02,Disabled,4126698,Off,VA,2024-01-18 10:33:06,3.0.466,Microsoft Windows NT 6.1.7601 Service Pack 1,Windows 7,roaming
592802154,LAP-149-001,Disabled,4126698,VA,VA,2024-06-05 09:04:24,3.0.466,Microsoft Windows [version 10.0.22621.2428],Windows 11,roaming
592803461,LAP-412-001,Disabled,3901156,VA,VA,2024-06-05 09:09:19,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
592869721,LAP-312-001,Disabled,3901156,VA,VA,2024-06-05 09:03:43,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
593124029,LAP-414-4,Disabled,3901156,VA,VA,2024-06-05 09:04:20,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
593528811,LAP-DIR-COM,Disabled,3901056,Off,VA,2024-06-04 17:15:05,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
594000774,LAP-PAXE-002,Disabled,3901056,Off,Off,2024-06-05 06:52:24,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
594969850,TPV-127-1,Disabled,4126698,VA,VA,2024-06-05 08:56:01,3.0.466,Microsoft Windows [version 10.0.17763.5830],Windows 10,roaming
595104093,LAP-075-001,Disabled,4126698,VA,VA,2024-06-05 09:02:46,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
595107056,LAP-012-001,Disabled,4126698,Off,VA,2024-06-04 13:41:21,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
595663644,LAP-SUP-013,Disabled,3901056,VA,VA,2024-06-05 09:01:14,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
595871899,LP-145-5,Disabled,4126698,VA,VA,2024-06-05 09:20:09,3.0.466,Microsoft Windows [version 10.0.22631.3296],Windows 11,roaming
596186346,LAP-438-001,Disabled,3901156,VA,VA,2024-06-05 09:11:23,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
596294301,LAP-347-001,Disabled,4126698,Off,Off,2024-03-15 10:47:13,3.0.466,Microsoft Windows [version 10.0.22621.1702],Windows 11,roaming
596393798,LAP-400-003,Disabled,3901156,VA,VA,2024-06-05 09:09:37,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
597372383,LAP-224-001,Disabled,4126698,VA,VA,2024-06-05 08:58:46,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
597708376,LAP-DG,Disabled,4126782,Off,Encrypted,2024-02-04 11:53:49,3.0.466,Microsoft Windows NT 6.1.7601 Service Pack 1,Windows 7,roaming
597726906,LAP-018-001,Disabled,4126698,Off,VA,2024-05-29 11:07:29,3.0.466,Microsoft Windows [version 10.0.22621.3296],Windows 11,roaming
597944742,LAP-ODP-RSI,Disabled,3901056,VA,VA,2024-06-05 09:15:09,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
598157168,LAP-DLE-001,Disabled,3901056,VA,VA,2024-06-05 09:11:12,5.1.1,Microsoft Windows NT 10.0.22631.0,Windows 11,anyconnect
598161169,LAP-400-002,Disabled,3901156,Off,VA,2024-05-31 12:19:10,3.0.466,Microsoft Windows [version 10.0.22631.2861],Windows 11,roaming
598347807,LAP-062-001,Disabled,4126698,Off,VA,2024-06-04 17:25:48,3.0.466,Microsoft Windows [version 10.0.22631.3593],Windows 11,roaming
598673005,LAP-408-001,Disabled,3901156,VA,VA,2024-06-05 08:06:21,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
598764209,LAP-037-001,Disabled,4126698,Off,VA,2024-06-05 01:01:28,3.0.466,Microsoft Windows [version 10.0.22631.3447],Windows 11,roaming
598952658,LAP-191-4,Disabled,4126698,Off,VA,2024-05-30 15:23:36,3.0.466,Microsoft Windows [version 10.0.19045.2965],Windows 10,roaming
599008956,LAP-010-2,Disabled,4126698,Off,VA,2024-06-04 08:57:23,3.0.466,Microsoft Windows [version 10.0.22621.2861],Windows 11,roaming
599736884,LAP-127-01,Disabled,4126698,Off,VA,2024-03-27 13:56:18,3.0.466,Microsoft Windows [version 10.0.22621.2428],Windows 11,roaming
