Nom,Entité,Modèle,Numéro de série
LAP-MKTG-S-005,Parc LP,Latitude 7480,3PSP8Y2
LAP-MQP-004,Parc LP,ThinkPad L14 Gen 1,PF23VVDG
LAP-ODP-RSI,Parc LP,Latitude 7330,4GNR0T3
LAP-PAIE-004,Parc LP,Latitude 5420,GH6Y5J3
LAP-PAIE-005,Parc LP,Latitude 7420,6VPF7M3
LAP-PAIE-007,Parc LP,ThinkBook 14 G4 IAP,MP2FW854
LAP-PAIE-010,Parc LP,Latitude 5420,9DXX5J3
LAP-PAXE-002,Parc LP,ThinkPad T490s,PC1ARZRM
LAP-RESP-SUPP,Parc LP,Latitude 7440,DY6S4X3
LAP-RH-002,Parc LP,Latitude 7430,B365HW3
LAP-RH-100,Parc LP,ThinkPad T490s,PC1ARZRH
LAP-RH-102,Parc LP,ThinkPad T490s,PC1ARZSN
LAP-RH-104,Parc LP,Latitude 7420,12TF5M3
LAP-RH-105,Parc LP,ThinkBook 14 G4 IAP,MP2FW3H0
LAP-RRH-001,Parc LP,ThinkPad P14s Gen 2i,PF2VZTBM
LAP-RSE-001,Parc LP,Latitude 5440,6RDLCY3
LAP-RSE-002,Parc LP,Latitude 7380,8LLR8Y2
LAP-SAV-001,Parc LP,ThinkPad T490s,PC1CMNNH
LAP-SCH-100,Parc LP,ThinkPad T490s,PC1ARZSX
LAP-SOPHIEC,Parc LP,Latitude 5440,5HNYFY3
LAP-SUP-002,Parc LP,ThinkPad P14s Gen 2i,PF3E3S4T
LAP-SUP-004,Parc LP,ThinkPad L14 Gen 1,PF23W6ES
LAP-SUP-013,Parc LP,Latitude 7430,89YFSQ3
LAP-SUP-100,Parc LP,ThinkPad T490s,PC1ARZSP
LAP-SUP-102,Parc LP,ThinkPad T490s,PC1ARZRK
LAP-SUP-107,Parc LP,ThinkPad L14 Gen 1,PF2BZ5VZ
LAP-SUPP-004,Parc LP,ThinkPad T490s,PC1ARZSV
LAP-SUPP-005,Parc LP,ThinkBook 14 G4 IAP,MP2FBQY5
