Devince name,All_Device_Trend,Trend Vison Endpoint,GLPI,Umbrella,Old version Umbrella
TPV-028-2,Yes,Yes,Yes,No,
TPV-016-001,Yes,Yes,Yes,No,
LAP-RH-100,Yes,Yes,Yes,Yes,Yes
TPV-406-001,Yes,Yes,Yes,No,
10.2.121.8,Yes,No,No,No,
10.1.143.81,Yes,No,No,No,
LAP-MKTG-S-004,Yes,Yes,Yes,Yes,Yes
TPV-524-001,Yes,Yes,Yes,Yes,No
LP-016-1,No,No,Yes,No,
10.3.103.27,Yes,No,No,No,
LAP-306-001,Yes,No,Yes,Yes,No
TPV-346-001,Yes,Yes,Yes,Yes,Yes
TPV-224-1,Yes,Yes,Yes,No,
10.3.6.230,Yes,No,No,No,
192.168.1.74,Yes,No,No,No,
TPV-534-001,Yes,No,Yes,Yes,No
LP-075-3,Yes,No,Yes,No,
LAP-224-001,Yes,Yes,Yes,Yes,Yes
LAP-MGTG-014,Yes,Yes,Yes,Yes,Yes
LAP-426-3,Yes,No,Yes,No,
TPV-328-001,Yes,Yes,Yes,No,
TPV-067-002,Yes,Yes,Yes,No,
192.168.137.1,Yes,No,No,No,
LAP-SCH-002,Yes,No,No,Yes,Yes
SVI-12R2-MONITORING,Yes,No,No,No,
TPV-335-001,Yes,Yes,Yes,No,
TAB-064-001,Yes,Yes,No,No,
LAP-142-2,No,No,Yes,No,
LAP-428-001,Yes,Yes,Yes,Yes,Yes
TPV-542-001,Yes,No,Yes,Yes,No
LAP-418-4,Yes,No,Yes,Yes,Yes
LAP-302-5,Yes,No,Yes,No,
192.168.0.102,Yes,No,No,No,
LAP-418-2,Yes,Yes,No,Yes,Yes
LAP-ACH-20,Yes,Yes,Yes,Yes,Yes
LAP-DR-P3,Yes,Yes,Yes,Yes,Yes
TPV-127-1,Yes,Yes,Yes,Yes,Yes
TPV-547-001,Yes,No,Yes,Yes,No
192.168.1.60,Yes,No,No,No,
LAP-SUPPLY-004,No,No,No,Yes,Yes
TPV-191-002,Yes,Yes,Yes,No,
LAP-007-001,Yes,Yes,Yes,Yes,Yes
10.1.142.80,Yes,No,No,No,
LAP-SUP-004,Yes,Yes,Yes,Yes,Yes
TPV-537-001,Yes,No,Yes,Yes,No
TPV-200-002,Yes,Yes,Yes,No,
10.2.114.90,Yes,No,No,No,
LAP-421-20,Yes,Yes,Yes,No,
svi-19-impr,No,No,Yes,No,
LAP-P,Yes,Yes,No,No,
LAP-037-001,Yes,Yes,Yes,Yes,Yes
SUR-408-001,No,Yes,Yes,No,
10.1.63.80,Yes,No,No,No,
TPV-312-002,Yes,Yes,Yes,No,
LP-303-6,Yes,No,Yes,No,
10.1.18.153,Yes,No,No,No,
10.2.114.82,Yes,No,No,No,
LP-141-3,Yes,Yes,Yes,No,
LAP-SUP-102,Yes,Yes,Yes,Yes,Yes
LAP-066-001,Yes,Yes,Yes,No,
TPV-540-001,Yes,No,Yes,Yes,No
192.168.1.4,Yes,No,No,No,
LAP-155-02,No,No,Yes,Yes,Yes
