Devince name,All_Device_Trend,Trend Vison Endpoint,GLPI,Umbrella,Old version Umbrella
LAP-020-3,No,No,Yes,No,
TPV-305-001,Yes,Yes,Yes,No,
BRWDCE9945811A3,Yes,No,No,No,
svi-12r2-tech.louispion.fr,Yes,No,No,No,
10.2.16.81,Yes,No,No,No,
TPV-149-002,No,No,Yes,No,
TPV-120-002,Yes,Yes,No,No,
10.3.0.207,Yes,No,No,No,
10.3.0.222,Yes,No,No,No,
TPV-331-001,Yes,Yes,Yes,No,
TPV-024-001,Yes,Yes,Yes,No,
LP-316-2,Yes,No,Yes,No,
TPV-033-001,Yes,Yes,Yes,No,
TPV-193-001,Yes,Yes,Yes,No,
TPV-080-001,Yes,Yes,Yes,No,
LAP-SUPP-006,Yes,Yes,Yes,No,
10.2.121.82,Yes,No,No,No,
LAP-MKTG-002,Yes,Yes,Yes,Yes,No
TPV-539-001,Yes,No,Yes,Yes,No
TPV-526-001,Yes,Yes,Yes,Yes,No
LAP-CPTA-106,Yes,Yes,Yes,No,
192.168.1.83,Yes,No,No,No,
LAP-ACH-012,No,No,Yes,No,
svi-12r2-gcds,No,No,Yes,No,
LAP-DIR-MKTG,Yes,Yes,Yes,Yes,No
LP-429-1,Yes,No,Yes,No,
192.168.0.111,Yes,No,No,No,
TPV-195-002,Yes,Yes,Yes,No,
LAP-ACH-23,Yes,Yes,Yes,No,
LAP-TRA-004,Yes,Yes,Yes,Yes,No
TPV-530-001,Yes,Yes,Yes,Yes,No
192.168.1.183,Yes,No,No,No,
TPV-329-002,Yes,Yes,Yes,No,
LAP-RH-104,Yes,Yes,Yes,Yes,Yes
LP-072-4,Yes,No,Yes,No,
srv-domaine2,No,No,Yes,No,
LP-347-2,Yes,No,Yes,No,
LAP-418-3,Yes,No,No,No,
LAP-416-001,Yes,Yes,Yes,Yes,Yes
DESKTOP-7TR1PF8,No,No,No,Yes,Yes
LP-412-4,Yes,No,Yes,No,
LP-NEW-win10,No,No,No,Yes,Yes
TPV-546-001,Yes,Yes,Yes,Yes,No
LAP-032-3,Yes,No,Yes,No,
TPV-544-001,Yes,Yes,Yes,Yes,No
DESKTOP-0ONH783,Yes,No,No,No,
LAP-346-001,Yes,Yes,No,Yes,Yes
LP-326-1,No,No,Yes,No,
LP-026-3,Yes,Yes,Yes,No,
LAP-019-001,Yes,No,Yes,Yes,Yes
LAP-422-001,No,No,Yes,Yes,Yes
TPV-514-001,Yes,Yes,Yes,Yes,No
LAP-351-1,Yes,Yes,Yes,No,
LAP-MKTG-05,Yes,Yes,Yes,Yes,Yes
LAP-421-19,Yes,No,Yes,No,
LAP-DR-SO,Yes,Yes,No,No,
TPV-348-002,Yes,Yes,Yes,Yes,Yes
192.168.0.52,Yes,No,No,No,
TPV-228-001,Yes,Yes,Yes,No,
10.4.1.212,Yes,No,No,No,
10.1.49.100,Yes,No,No,No,
LAP-SAV-001,Yes,Yes,Yes,Yes,Yes
LAP-ACH-017,Yes,Yes,Yes,No,
AURES-149-002,Yes,Yes,No,No,
TPV-026-003,Yes,Yes,Yes,No,
10.1.18.16,Yes,No,No,No,
LP-DIR-SUP,Yes,Yes,No,No,
10.2.124.11,Yes,No,No,No,
LP-194-3,Yes,Yes,Yes,No,
LAP-438-001,Yes,Yes,Yes,Yes,Yes
LAP-CPTA-103,Yes,Yes,Yes,No,
10.2.124.9,Yes,No,No,No,
10.3.0.96,Yes,No,No,No,
LAP-141-7,No,No,Yes,No,
LAP-421-17,Yes,No,Yes,Yes,Yes
LAP-306-3,Yes,No,No,No,
LAP-339-001,Yes,No,Yes,Yes,Yes
TPV-143-002,Yes,Yes,Yes,No,
TPV-234-001,No,No,Yes,No,
TPV-322-001,No,Yes,No,Yes,No
10.1.206.80,Yes,No,No,No,
SVI-12R2-CBS-BDD.louispion.fr,Yes,No,No,No,
LAP-ACH-018,Yes,Yes,Yes,Yes,Yes
AIO-340-001,Yes,Yes,Yes,No,
LAP-421-12,Yes,No,Yes,No,
LAP-CPTA-108,Yes,Yes,No,Yes,Yes
TPV-012-001,Yes,Yes,Yes,No,
192.168.0.33,Yes,No,No,No,
LAP-302-7,Yes,Yes,Yes,No,
TPV-505-001,Yes,Yes,Yes,Yes,No
TPV-315-001,Yes,Yes,Yes,No,
LAP-428-2,Yes,Yes,No,Yes,Yes
TPV-330-001,Yes,Yes,Yes,Yes,Yes
10.1.193.80,Yes,No,No,No,
192.168.1.40,Yes,No,No,No,
LAP-DIR-RA2,Yes,Yes,Yes,Yes,Yes
192.168.1.211,Yes,No,No,No,
LAP-SCH-100,Yes,Yes,Yes,Yes,Yes
TPV-550-001,Yes,Yes,Yes,Yes,No
10.3.0.84,Yes,No,No,No,
LAP-221-4,Yes,Yes,No,No,
TPV-141-002,Yes,Yes,Yes,No,
LAP-DG,No,No,No,Yes,Yes
10.3.0.6,Yes,No,No,No,
LAP-SUPP-005,Yes,Yes,Yes,Yes,Yes
LAP-322-3,Yes,No,Yes,No,
TPV-541-001,Yes,No,Yes,Yes,No
TPV-513-001,Yes,Yes,Yes,Yes,No
10.2.114.81,Yes,No,No,No,
LAP-007-1,No,No,Yes,Yes,Yes
TPV-422-002,Yes,Yes,Yes,No,
192.168.1.20,Yes,No,No,No,
LAP-309-3,Yes,No,Yes,No,
svi-12r2-bi-app,No,No,Yes,No,
TPV-063-001,Yes,Yes,Yes,No,
10.1.62.2,Yes,No,No,No,
LAP-DIR-DSI,Yes,No,Yes,Yes,Yes
LAP-200-3,Yes,No,Yes,No,
TPV-139-001,Yes,Yes,Yes,No,
LAP-235-6,Yes,No,Yes,No,
LAP-153-3,Yes,No,Yes,No,
LAP-MKTG-015,Yes,Yes,Yes,Yes,Yes
LAP-RH-002,Yes,Yes,Yes,Yes,Yes
TPV-074-001,Yes,Yes,Yes,No,
LP-307-3,Yes,No,Yes,No,
LP-421-16,Yes,No,Yes,No,
LAP-401-8,Yes,No,Yes,Yes,Yes
LAP-ACH-014,Yes,Yes,Yes,Yes,Yes
LAP-TRA-003,No,No,No,Yes,Yes
svi-12r2-linkki.louispion.fr,Yes,No,No,No,
TPV-027-003,Yes,Yes,Yes,No,
LAP-CPTA-111,Yes,No,Yes,Yes,Yes
LP-032-4,Yes,No,Yes,No,
