"Endpoint name","Type","IP address","MAC address","Group","Pinned to Group","Agent GUID","Operating system","Endpoint isolation","Create time","Last connected","Features enabled","Status","Error code"
"LP-401-7","Desktop","10.2.101.7,169.254.52.183,169.254.111.40,169.254.130.223,169.254.236.53","30:D0:42:F5:07:33,00:91:9E:59:5F:61,02:91:9E:59:5F:60,00:91:9E:59:5F:60,00:91:9E:59:5F:64","All Endpoints","No","91ed55e0-d2e2-4a9d-afef-3a9e5e934fcb","Windows 11","Off","2021-12-15 16:38:50","2024-06-05 14:48:12","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-MKTG-012","Desktop","169.254.36.13,169.254.218.203,169.254.17.174,10.3.6.52,169.254.155.138","90:2E:16:E3:30:35,A8:64:F1:42:25:B7,AA:64:F1:42:25:B6,A8:64:F1:42:25:B6,A8:64:F1:42:25:BA","All Endpoints","No","2f1592a1-8922-44bc-b726-92e920c3905e","Windows 11","Off","2021-12-17 17:20:06","2024-06-05 14:46:09","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-MKTG-05","Desktop","169.254.11.217,169.254.76.248,169.254.89.81,10.3.6.49,169.254.139.176","90:2E:16:E3:34:A1,A8:64:F1:42:A3:34,AA:64:F1:42:A3:33,A8:64:F1:42:A3:33,A8:64:F1:42:A3:37","All Endpoints","No","53d188ef-04cc-4407-ae69-83b8a3496c8d","Windows 11","Off","2021-12-29 12:04:54","2024-06-05 14:47:34","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-DIR-RA2","Desktop","169.254.65.243,169.254.77.0,192.168.1.46","90:2E:16:E3:43:2B,38:87:D5:D9:96:31,92:2F:3F:11:55:FF","All Endpoints","No","2d1f703b-c658-4d44-894c-5dd142ab3f89","Windows 11","Off","2021-12-30 17:42:41","2024-06-05 14:48:21","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-MKTG-S-003","Desktop","169.254.222.197,169.254.191.108,169.254.48.238,10.3.6.32,169.254.139.71","8C:04:BA:3B:DD:62,50:E0:85:26:A4:F9,52:E0:85:26:A4:F8,50:E0:85:26:A4:F8,50:E0:85:26:A4:FC","All Endpoints","No","7f3699b5-9845-4bd4-a04c-9d49b9233e12","Windows 10","Off","2022-01-04 16:42:02","2024-06-05 14:45:33","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-TRAV-01","Desktop","10.3.103.91,169.254.245.149,169.254.112.63,192.168.1.16,169.254.95.197","02:50:41:00:00:01,2C:6D:C1:BA:F1:8B,2E:6D:C1:BA:F1:8A,2C:6D:C1:BA:F1:8A,2C:6D:C1:BA:F1:8E","All Endpoints","No","cb69595d-a600-4538-91d9-38479beb1769","Windows 11","Off","2022-01-11 11:54:35","2024-06-05 14:43:01","XDR Endpoint Sensor,Vulnerability Assessment","",""
"MacBook-Air-de-mac-dg","Desktop","192.168.1.39","D4:57:63:D3:D9:99","All Endpoints","No","a453a656-8e83-4df9-b0ce-724090a9bfb2","macOS Monterey 12.1","Off","2022-01-31 13:27:47","2024-06-05 14:47:50","","Activity Data - Permission required (2): Unable to report data. Ensure that the endpoint has granted the required access permissions:
- System Extension (20412, 20113)
- Full Disk Access","M20412"
"LAP-MKTG-004","Desktop","10.3.103.86,169.254.169.114,169.254.129.209,169.254.10.206,192.168.1.167,169.254.180.78","02:50:41:00:00:01,84:A9:38:E4:AA:38,70:CD:0D:56:55:AF,72:CD:0D:56:55:AE,70:CD:0D:56:55:AE,70:CD:0D:56:55:B2","All Endpoints","No","32b815e3-2524-4045-a10d-ea2be9d79a0d","Windows 11","Off","2022-03-14 13:50:03","2024-06-05 14:45:23","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-315-001","Desktop","10.2.15.1","B4:A9:FC:15:D4:B3","All Endpoints","No","35f157b2-df6f-4d15-bf0c-fcf216f43f05","Windows 10","Off","2022-03-18 15:44:01","2024-06-05 14:44:32","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-ASSIS-001","Desktop","169.254.34.164,169.254.9.178,169.254.60.82,10.3.6.39,169.254.38.147","A0:29:19:B7:AD:03,CC:15:31:20:39:89,CE:15:31:20:39:88,CC:15:31:20:39:88,CC:15:31:20:39:8C","All Endpoints","No","c0a7d0d8-9839-417d-9705-990a94fd6a24","Windows 11","Off","2022-04-05 21:13:14","2024-06-05 14:46:59","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-DR-PA-CEN","Desktop","10.3.103.81,169.254.158.243,169.254.38.182,172.20.10.2,169.254.73.105","02:50:41:00:00:01,10:51:07:49:92:A7,12:51:07:49:92:A6,10:51:07:49:92:A6,10:51:07:49:92:AA","All Endpoints","No","f5bcfa62-3dde-4522-9234-23ad5f68f383","Windows 11","Off","2022-06-08 16:42:12","2024-06-05 14:49:26","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-427-3","Desktop","10.3.104.46,169.254.206.100,169.254.233.248,169.254.221.97,10.1.18.116","02:50:41:00:00:01,A0:29:19:72:89:D1,60:A5:E2:9A:72:3F,62:A5:E2:9A:72:3E,60:A5:E2:9A:72:3E","All Endpoints","No","34547d82-0f18-4152-ab57-838d8e99404f","Windows 11","Off","2022-06-10 18:01:35","2024-06-05 14:48:20","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-055-001","Desktop","10.1.55.2,169.254.195.128,169.254.2.247,169.254.154.51,10.1.55.3","A0:29:19:72:8D:90,A0:29:19:72:8D:90,60:A5:E2:FA:71:F8,62:A5:E2:FA:71:F7,60:A5:E2:FA:71:F7","All Endpoints","No","79eb0f4c-4f88-4dd9-a344-b30ec731847e","Windows 11","Off","2022-06-22 13:36:37","2024-06-05 14:47:58","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LP-HORLOGER-401","Desktop","10.2.101.5,10.2.101.4,169.254.3.118,169.254.42.20,169.254.190.202,169.254.253.151","00:BE:43:8F:BA:10,70:A8:D3:AD:2A:41,70:A8:D3:AD:2A:41,70:A8:D3:AD:2A:42,72:A8:D3:AD:2A:41,70:A8:D3:AD:2A:45","All Endpoints","No","1415f85f-ed2d-4061-b694-9f2620b09f91","Windows 11","Off","2022-07-11 15:56:44","2024-06-05 13:13:48","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-226-001","Desktop","169.254.247.215,169.254.165.118,169.254.70.64,10.1.226.5","A0:29:19:72:8D:1A,60:A5:E2:F7:A5:C7,62:A5:E2:F7:A5:C6,60:A5:E2:F7:A5:C6","All Endpoints","No","627fd9bd-46e0-4199-8a05-f036d2e5716a","Windows 11","Off","2022-07-20 12:46:53","2024-06-04 19:55:01","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-428-001","Desktop","10.2.118.1,169.254.56.114,169.254.155.165,169.254.233.29","A0:29:19:72:8C:10,60:A5:E2:F7:97:0D,62:A5:E2:F7:97:0C,60:A5:E2:F7:97:0C","All Endpoints","No","3050129a-e6f0-48a8-8fb1-7160712a7d54","Windows 11","Off","2022-07-29 15:32:43","2024-06-05 14:14:43","XDR Endpoint Sensor,Vulnerability Assessment","",""
"TPV-414-001","Desktop","10.2.114.5","00:60:EF:39:DE:72","All Endpoints","No","8fc713af-76b4-46a6-873a-42d778574dc1","Windows 10","Off","2022-08-04 11:02:53","2024-06-05 14:44:52","XDR Endpoint Sensor,Vulnerability Assessment","",""
"AIO-340-001","Desktop","10.2.40.3,169.254.22.16,169.254.232.181,169.254.230.18,10.2.40.2,169.254.30.47","70:A8:D3:C1:61:05,70:A8:D3:C1:61:05,70:A8:D3:C1:61:06,72:A8:D3:C1:61:05,30:D0:42:F0:B8:90,70:A8:D3:C1:61:09","All Endpoints","No","d06a1961-b4be-4fa2-bee3-c0adfb7cc25b","Windows 11","Off","2022-08-10 11:43:02","2024-06-05 14:45:00","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-038-001","Desktop","10.1.38.3,169.254.142.52,169.254.113.222","08:92:04:31:BD:42,F8:9E:94:8E:DF:3D,F8:9E:94:8E:DF:3C","All Endpoints","No","565c588e-6230-496b-adde-ba2b269318d2","Windows 11","Off","2022-08-12 12:32:18","2024-06-05 14:47:41","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-PAIE-004","Desktop","10.3.103.88,169.254.211.90,169.254.254.42,169.254.97.194,172.16.4.12,169.254.162.245","02:50:41:00:00:01,A0:29:19:32:1C:EA,AC:74:B1:DC:1C:F8,AE:74:B1:DC:1C:F7,AC:74:B1:DC:1C:F7,AC:74:B1:DC:1C:FB","All Endpoints","No","efdacbe2-0f7a-4954-acb9-8d9cfd06ed47","Windows 10","Off","2022-08-17 10:29:18","2024-06-05 14:49:04","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-064-FORMA","Desktop","10.3.104.19,169.254.20.40,169.254.230.136,169.254.8.105,192.168.1.63,169.254.40.213","02:50:41:00:00:01,08:92:04:31:CC:BE,8C:F8:C5:B4:DE:27,8E:F8:C5:B4:DE:26,8C:F8:C5:B4:DE:26,8C:F8:C5:B4:DE:2A","All Endpoints","No","56584adb-2d5b-4941-85e3-f9074bd00715","Windows 11","Off","2022-08-17 10:34:01","2024-06-04 21:14:06","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-RH-104","Desktop","169.254.192.131,169.254.141.186,10.3.6.18,169.254.23.59","10:51:07:49:5A:AD,12:51:07:49:5A:AC,10:51:07:49:5A:AC,10:51:07:49:5A:B0","All Endpoints","No","831e8688-21c2-447c-b3b9-4594e12ce916","Windows 11","Off","2022-08-17 11:53:04","2024-06-05 14:45:57","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-318-001","Desktop","169.254.106.80,169.254.238.97,169.254.187.77,10.2.18.2,169.254.249.36","F8:9E:94:8E:C1:69,F8:9E:94:8E:C1:6A,FA:9E:94:8E:C1:69,08:92:04:31:CB:BD,F8:9E:94:8E:C1:6D","All Endpoints","No","be4f7dde-8220-4d46-a85c-83f61df86800","Windows 11","Off","2022-08-22 16:09:22","2024-06-05 14:47:15","XDR Endpoint Sensor,Vulnerability Assessment","",""
"AIO-401-001","Desktop","10.2.101.3,169.254.242.37,169.254.106.59,169.254.162.50","00:4E:01:A0:7B:FE,08:71:90:10:BA:A8,08:71:90:10:BA:A9,0A:71:90:10:BA:A8","All Endpoints","No","3d04f53a-49c9-4e28-af91-812d8649a295","Windows 11","Off","2022-08-23 17:27:03","2024-06-05 14:48:41","XDR Endpoint Sensor,Vulnerability Assessment","",""
"LAP-MGTG-014","Desktop","10.3.103.84,169.254.58.15,169.254.139.201,169.254.65.141,192.168.1.49,169.254.14.104","02:50:41:00:00:01,84:A9:38:32:7C:40,B6:B5:B6:A7:5A:A7,B6:B5:B6:A7:4A:B7,B4:B5:B6:A7:7A:87,B4:B5:B6:A7:7A:88","All Endpoints","No","a41dacf6-1ea2-45a4-99e5-0d86b17a2925","Windows 11","Off","2022-09-02 15:41:03","2024-06-05 14:48:55","XDR Endpoint Sensor,Vulnerability Assessment","",""
"AIO-414-001","Desktop","10.2.114.1,169.254.221.76,169.254.123.6,169.254.117.236","00:BE:43:8C:E6:00,2C:33:58:D9:89:BA,2C:33:58:D9:89:BB,2E:33:58:D9:89:BA","All Endpoints","No","7214ca9e-31d9-4ffe-9f08-8c55f61a6c64","Windows 11","Off","2022-09-05 15:53:43","2024-06-05 14:41:13","XDR Endpoint Sensor,Vulnerability Assessment","",""
