Device name,Latest risk score,Operating system,IP address,Last user,Highly-exploitable CVEs,Discovered by,First seen,Last detected
LAP-CPTA-111,30,Windows 10 10.0 (Build 19045),10.3.6.78,,0,Apex One as a Service,2023-10-02 13:04:17,2023-10-03 10:10:48
TPV-516-001,30,Windows 10 10.0 (Build 17763),192.168.10.79,,0,Apex One as a Service,2023-10-18 13:56:07,2023-10-19 01:42:00
LAP-MKT-S-002,30,Windows 11 10.0 (Build 22621),10.3.6.52,,0,Apex One as a Service,2021-09-22 19:24:14,2023-10-30 08:48:01
AIO-414-002,30,Windows 10 10.0 (Build 19045),"169.254.105.11, 169.254.72.163, 192.168.137.1, 10.2.114.2, 169.254.95.111",SERVICE RÉSEAU,0,"Trend Vision One Endpoint Sensor, Trend Vision One Agent",2022-10-26 10:21:16,2023-11-02 14:02:47
LAP-DLE-001,30,Windows 11 10.0 (Build 22621),10.3.6.18,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2023-01-02 14:17:06,2023-11-02 08:14:47
LP-454-2,30,Windows 10 10.0 (Build 19045),10.3.103.30,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2022-01-17 11:15:03,2023-10-28 02:56:00
LAP-MKTG-03,30,Windows 10 10.0 (Build 19045),10.3.103.6,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-10-04 15:56:31,2023-10-25 14:49:22
LAP-DIR-LUXE2,30,Windows 11 10.0 (Build 22621),192.168.1.81,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2023-04-17 10:30:30,2023-11-02 11:20:00
LAP-421-17,30,Windows 10 10.0 (Build 19045),10.2.121.13,,0,Apex One as a Service,2021-09-21 22:21:42,2023-10-25 13:29:41
LAP-SUPP-004,30,Windows 10 10.0 (Build 19045),10.3.103.13,,0,"Trend Vision One Endpoint Sensor, Apex One as a Service",2021-09-29 17:11:28,2023-10-24 20:22:32
LAP-TRA-003,30,Windows 10 10.0 (Build 19045),10.3.6.38,,0,Apex One as a Service,2023-08-28 07:55:04,2023-11-02 09:22:08
TPV-506-001,30,Windows 10 10.0 (Build 17763),192.168.10.83,,0,Apex One as a Service,2023-10-19 13:45:58,2023-10-20 01:42:47
LAP-PAIE-004,30,Windows 10 10.0 (Build 19045),10.3.6.33,lmoreau,0,"Trend Vision One Endpoint Sensor, Apex One as a Service, Trend Vision One Agent",2022-10-06 14:20:42,2023-11-02 13:42:39
svi-12r2-dwh.louispion.fr,30,Microsoft Windows Server 2012 R2 (64 bit) build 9600 6.3.9600,10.4.1.226,"SERVICE RÉSEAU
AUTORITE NT",0,Endpoint & Workload Security,2021-10-09 10:19:55,2023-10-31 22:59:30
TPV-345-001,30,Windows 10 10.0 (Build 17763),192.168.2.100,,0,Apex One as a Service,2023-01-12 06:47:07,2023-11-01 23:32:18
LAP-194-001,30,Windows 10 10.0 (Build 19045),10.1.194.5,,0,Apex One as a Service,2023-08-11 12:40:26,2023-10-20 08:38:27
