id,name_movie,language,years,genre,time,finish
128,TAU,Anglais,2018,SF / Action,1h37,✔
129,Tean Beach Movie,Anglais,2013,Teen Movie / Musical,1h50,✔
130,Tean Beach Movie 2 ,Anglais,2015,Teen Movie / Musical,1h45,✔
131,The Amazing Spider-man,Anglais,2012,Action / Aventure,2h16,✔
132,The babysitter : killer queen,Anglais,2020,Comédie / Horreur,1h41,✔
133,The babysitters,Anglais,2007,Drame,1h30,✔
134,The call,Coréen,2020,"Thriller, Psychologique",1h52,✔
135,The greatest showman,Anglais,2017,Musical / Drame ,1h45,✔
136,The Karate Kid,Anglais,2010,Action et Drame,2h20,✔
137,The old guard,Anglais,2020,Action,2h05,✔
138,The silence,Anglais,2019,Thriller / Horreur,1h30,✔
139,Tous en scène,Anglais,2016,Film pour enfant / Musical ,1h50,✔
140,Tous en scène 2,Anglais,2021,Film pour enfant / Musical ,1h50,✔
141,Toy Story 1,Anglais,1995,Film pour enfant / Aventure,1h21,✔
142,Tune of Love,Coréen,2019,Romance / Drame ,2h02,✔
143,Venom,Anglais,2018,Action / SF,1h52,✔
144,Vivo,Anglais,2021,Comédie / Film familial ,1h43,✔
145,Wanted : Choisis ton destin,Anglais,2008,Thriller / Action ,1h50,✔
146,X-men : Apocalypse,Anglais,2016,Action / SF,2h24,✔
147,Your Name,Japonais,2016,Romance / Fantaisie,1h52,✔
148,Zapped : Une application d'enfer !,Anglais,2014,Teen Movie / Comédie / Fantaisie,1h42,✔
149,"Miraculous, le film",Anglais,2023,Aventure / Action,1h45,✔
150,30 jours max,Français,2020,Comédie et Crime,1h27,
151,A silence voice,Japonais,2016,Animation / Drame / Romance,2h09,
152,Baby boss 2,Anglais,2021,Comédie,1h47,
153,Bird box,Anglais,2018,Horreur / SF,2h04,
154,Dragons 2,Anglais,2014,Aventure,1h42,
155,Dragons 3,Anglais,2019,Aventure,1h44,
156,Forgotten,Coréen,2017,Thriller,1h49,
157,Forte,Français,2020,Comédie,1h35,
158,Frozen II ,Anglais,2019,Film pour enfant / Musical ,1h43,
159,Good boy,Anglais,2019,Aventure,1h35,
160,Invisible man,Anglais,2020,Thriller / Horreur,2h05,
161,Jumanji : The next level,Anglais,2019,SF,2h03,
162,Jurassic Word,Anglais,2015,Action / SF,2h04,
163,Jurassic World : Le Monde d'après ,Anglais,2022,Action / SF,2h,
164,Jurassic World: Fallen Kingdom ,Anglais,2018,Action / SF,2h09,
165,KungFu Panda 2,Anglais,2011,Comédie,1h32,
166,KungFu Panda 3,Anglais,2016,Comédie,1h35,
167,La nuit au musée 3 : Le Secret des Pharaons,Anglais,2014,Film pour enfant / Comédie / Aventure,1h38,
168,La nuit au musée 4 : Le Retour de Kahmunrah,Anglais,2022,Film pour enfant / Comédie / Aventure,1h20,
169,La vie scolaire,Français,2019,Drame / Comédie,1h51,
170,Le monde de Ralph 2,Anglais,2018,Film pour enfant / Comédie / Aventure,1h52,
171,Les cheetah girls 2 ,Anglais,2006,Teen Movie / Comédie musicale,1h39,
172,Les crevettes pailletées,Français,2019,Comédie / Sport,1h40,
173,Megan,Anglais,2022,Thriller / Horreur,1h42,
174,Mulan (film),Anglais,2020,Aventure / Famille / Fantastique,1h55,
175,Retour vers le futur 2,Anglais,1989,Comédie / SF / Aventure,1h45,
176,Retour vers le futur 3,Anglais,1990,Comédie / SF / Aventure,1h58,
177,Spider-Man 3 ,Anglais,2007,Action / SF,2h19,
178,Suzune,Japonais,2022,Animation / AventureAnimation,2h02,
179,The Amazing Spider-Man : Le Destin d'un héros,Anglais,2014,Action / Aventure,2h22,
180,The kissing booth,Anglais,2018,Comédie Romantique,1h45,
181,The kissing booth 2,Anglais,2020,Comédie Romantique,2h11,
182,Thunder force,Anglais,2021,Comédie de super-héro,1h46,
183,Tick tick .. boom,Anglais,2021,Drame / Biographique,1h55,
184,Toy Story 2,Anglais,1999,Film pour enfant / Aventure,1h35,
185,Toy Story 3,Anglais,2010,Film pour enfant / Aventure,1h43,
186,Venom : Let There Be Carnage,Anglais,2021,Action / SF,2h,
187,Work it,Anglais,2020,Drame / Comédie / Comédie musicale,1h33,
